comuna,cut_comuna,dist_c17,semana,sosp_0326,sosp_0530,obs_cnt
Algarrobo,5602,0,16,0,6,58
Algarrobo,5602,0,17,1,3,24
Algarrobo,5602,0,18,0,2,24
Algarrobo,5602,0,19,0,2,30
Algarrobo,5602,0,20,0,1,33
Algarrobo,5602,0,21,0,1,13
Algarrobo,5602,0,22,0,0,24
Algarrobo,5602,0,23,0,1,39
Algarrobo,5602,0,24,0,1,22
Algarrobo,5602,0,25,0,1,32
Algarrobo,5602,0,26,1,1,33
Algarrobo,5602,0,27,1,2,26
Algarrobo,5602,0,28,0,1,34
Algarrobo,5602,0,29,0,2,29
Algarrobo,5602,0,30,0,1,25
Algarrobo,5602,0,31,0,1,29
Algarrobo,5602,0,32,0,3,24
Algarrobo,5602,0,33,0,0,30
Algarrobo,5602,0,34,0,2,22
Algarrobo,5602,0,35,0,0,3
Algarrobo,5602,560201,15,0,0,4
Algarrobo,5602,560201,16,2,7,29
Algarrobo,5602,560201,17,0,0,14
Algarrobo,5602,560201,18,0,2,16
Algarrobo,5602,560201,19,0,0,19
Algarrobo,5602,560201,20,1,0,19
Algarrobo,5602,560201,21,0,0,11
Algarrobo,5602,560201,22,0,3,19
Algarrobo,5602,560201,23,0,1,13
Algarrobo,5602,560201,24,0,1,19
Algarrobo,5602,560201,25,0,1,17
Algarrobo,5602,560201,26,0,0,13
Algarrobo,5602,560201,27,1,2,21
Algarrobo,5602,560201,28,0,0,17
Algarrobo,5602,560201,29,0,3,15
Algarrobo,5602,560201,30,0,0,12
Algarrobo,5602,560201,31,0,0,14
Algarrobo,5602,560201,32,0,0,11
Algarrobo,5602,560201,33,0,1,14
Algarrobo,5602,560201,34,0,0,10
Algarrobo,5602,560201,35,0,0,2
Algarrobo,5602,560202,16,0,0,9
Algarrobo,5602,560202,17,0,0,4
Algarrobo,5602,560202,18,0,0,5
Algarrobo,5602,560202,19,0,1,6
Algarrobo,5602,560202,20,0,0,3
Algarrobo,5602,560202,21,0,0,4
Algarrobo,5602,560202,22,0,0,4
Algarrobo,5602,560202,23,0,0,3
Algarrobo,5602,560202,24,0,0,3
Algarrobo,5602,560202,25,0,0,3
Algarrobo,5602,560202,26,0,0,5
Algarrobo,5602,560202,27,0,0,2
Algarrobo,5602,560202,28,0,0,5
Algarrobo,5602,560202,29,0,0,1
Algarrobo,5602,560202,30,0,0,2
Algarrobo,5602,560202,31,0,0,3
Algarrobo,5602,560202,32,0,0,1
Algarrobo,5602,560202,33,0,0,4
Algarrobo,5602,560202,34,0,0,1
Algarrobo,5602,560203,16,0,1,2
Algarrobo,5602,560203,17,0,2,3
Algarrobo,5602,560203,19,0,1,2
Algarrobo,5602,560203,20,0,1,2
Algarrobo,5602,560203,21,0,1,2
Algarrobo,5602,560203,22,0,0,2
Algarrobo,5602,560203,23,0,1,1
Algarrobo,5602,560203,24,0,0,2
Algarrobo,5602,560203,25,0,0,2
Algarrobo,5602,560203,26,0,0,2
Algarrobo,5602,560203,27,0,0,2
Algarrobo,5602,560203,28,0,0,2
Algarrobo,5602,560203,29,0,0,2
